Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
06/18/2023,50,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,50,28,34,14
06/19/2023,50,Ozone,Edison,06-029-0007,AQS,1,50,38,33,24
06/20/2023,47,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,47,41,38,29
06/21/2023,67,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,67,45,48,28
06/22/2023,60,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,2,51,60,52,27
06/23/2023,50,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,44,40,50,27
06/24/2023,71,Ozone,Edison,06-029-0007,AQS,2,71,44,68,28
06/25/2023,61,Ozone,Edison,06-029-0007,AQS,2,61,31,54,23
06/26/2023,54,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,54,33,50,30
06/27/2023,90,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,90,41,63,32
06/28/2023,80,Ozone,Edison,06-029-0007,AQS,3,80,41,56,30
06/29/2023,108,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,108,56,61,31
06/30/2023,140,Ozone,Edison,06-029-0007,AQS,3,140,63,68,30
07/01/2023,147,Ozone,Edison,06-029-0007,AQS,3,147,55,72,28
07/02/2023,122,Ozone,Edison,06-029-0007,AQS,3,122,39,65,23
07/03/2023,97,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,97,53,56,28
07/04/2023,80,Ozone,Edison,06-029-0007,AQS,2,80,40,61,25
07/05/2023,87,Ozone,Edison,06-029-0007,AQS,3,87,38,62,37
07/06/2023,93,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,93,52,58,35
07/07/2023,91,PM2.5,Lebec,06-029-2009,AQS,2,87,54,91,39
07/08/2023,74,Ozone,Edison,06-029-0007,AQS,3,74,44,55,28
07/09/2023,61,Ozone,Edison,06-029-0007,AQS,2,61,36,45,23
07/10/2023,97,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,97,42,41,30
07/11/2023,129,Ozone,Edison,06-029-0007,AQS,2,129,54,59,40
07/12/2023,122,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,122,48,54,35
07/13/2023,115,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,115,53,62,45
07/14/2023,93,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,93,53,58,35
07/15/2023,156,Ozone,Edison,06-029-0007,AQS,3,156,54,67,25
07/16/2023,161,Ozone,Edison,06-029-0007,AQS,5,161,49,71,23
07/17/2023,140,Ozone,Edison,06-029-0007,AQS,3,140,47,59,33
07/18/2023,74,Ozone,Maricopa,06-029-0008,AQS,3,74,44,56,36
07/19/2023,97,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,97,47,58,29
07/20/2023,150,Ozone,Edison,06-029-0007,AQS,3,150,60,68,40
07/21/2023,159,Ozone,Edison,06-029-0007,AQS,3,159,60,75,33
07/22/2023,159,Ozone,Edison,06-029-0007,AQS,3,159,56,77,34
07/23/2023,129,Ozone,Bakersfield-Muni,06-029-2012,AQS,5,129,49,71,24
07/24/2023,101,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,101,54,57,41
07/25/2023,105,Ozone,Edison,06-029-0007,AQS,2,105,52,57,35
07/26/2023,136,Ozone,Edison,06-029-0007,AQS,2,136,56,65,38
07/27/2023,112,Ozone,Edison,06-029-0007,AQS,2,112,52,57,31
07/28/2023,129,Ozone,Edison,06-029-0007,AQS,2,129,59,69,30
07/29/2023,101,Ozone,Edison,06-029-0007,AQS,3,101,50,60,33
07/30/2023,80,Ozone,Edison,06-029-0007,AQS,3,80,39,54,26
07/31/2023,87,Ozone,Edison,06-029-0007,AQS,3,87,44,55,27
08/01/2023,101,Ozone,Edison,06-029-0007,AQS,2,101,55,53,33
08/02/2023,90,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,90,49,54,33
08/03/2023,80,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,80,51,52,31
08/04/2023,93,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,93,57,63,31
08/05/2023,100,Ozone,Edison,06-029-0007,AQS,3,100,53,62,31
08/06/2023,93,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,93,42,64,33
08/07/2023,97,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,97,48,58,29
08/08/2023,97,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,97,40,52,40
08/09/2023,77,Ozone,Edison,06-029-0007,AQS,3,77,42,51,42
08/10/2023,58,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,58,32,50,25
08/11/2023,84,Ozone,Edison,06-029-0007,AQS,3,84,42,58,30
08/12/2023,93,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,93,44,70,22
08/13/2023,84,Ozone,Edison,06-029-0007,AQS,3,84,55,60,21
08/14/2023,112,Ozone,Edison,06-029-0007,AQS,2,112,51,61,30
08/15/2023,126,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,126,62,59,32
08/16/2023,115,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,115,59,62,32
08/17/2023,100,Ozone,Edison,06-029-0007,AQS,2,100,57,58,36
08/18/2023,71,Ozone,Edison,06-029-0007,AQS,2,71,40,38,30
08/19/2023,60,PM2.5,Bakersfield-California,06-029-0014,AQS,2,54,55,60,24
08/20/2023,49,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,1,38,18,49,17
08/21/2023,43,Ozone,Maricopa,06-029-0008,AQS,1,43,15,34,20
08/22/2023,126,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,126,32,62,31
08/23/2023,169,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,169,51,84,36
08/24/2023,174,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,174,42,72,32
08/25/2023,136,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,136,40,54,37
08/26/2023,133,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,133,45,65,29
08/27/2023,119,Ozone,Edison,06-029-0007,AQS,2,119,39,61,30
08/28/2023,136,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,136,51,61,39
08/29/2023,150,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,150,59,65,37
08/30/2023,150,Ozone,Edison,06-029-0007,AQS,3,150,62,69,35
08/31/2023,161,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,161,57,71,34
09/01/2023,100,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,100,58,69,45
09/02/2023,55,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,44,39,55,16
09/03/2023,56,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,37,27,56,12
09/04/2023,53,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,46,31,53,21
09/05/2023,101,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,101,59,61,32
09/06/2023,105,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,.,105,56,58,38
09/07/2023,129,Ozone,Edison,06-029-0007,AQS,.,129,56,55,35
09/08/2023,129,Ozone,Edison,06-029-0007,AQS,.,129,60,59,41
09/09/2023,126,Ozone,Edison,06-029-0007,AQS,.,126,55,55,26
09/10/2023,67,Ozone,Edison,06-029-0007,AQS,.,67,48,51,29
09/11/2023,87,Ozone,Edison,06-029-0007,AQS,.,87,56,58,34
09/12/2023,100,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,100,56,65,36
09/13/2023,87,Ozone,Edison,06-029-0007,AQS,3,87,54,54,38
09/14/2023,122,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,122,67,61,35
09/15/2023,156,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,156,79,62,34
09/16/2023,122,Ozone,Edison,06-029-0007,AQS,3,122,60,60,21
09/17/2023,61,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,61,41,53,18
09/18/2023,52,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,2,49,51,52,29
09/19/2023,64,Ozone,Edison,06-029-0007,AQS,2,64,60,59,31
09/20/2023,84,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,84,58,63,29
09/21/2023,78,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,50,56,78,26
09/22/2023,90,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,87,63,90,35
09/23/2023,100,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,100,64,82,27
09/24/2023,97,Ozone,Edison,06-029-0007,AQS,5,97,56,76,26
09/25/2023,80,Ozone,Edison,06-029-0007,AQS,3,80,61,68,31
09/26/2023,67,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,67,60,58,30
09/27/2023,62,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,3,58,62,57,30
09/28/2023,84,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,84,65,60,30
09/29/2023,67,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,67,59,56,28
09/30/2023,32,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,32,24,31,13
10/01/2023,47,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,35,17,47,23
10/02/2023,55,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,44,32,55,32
10/03/2023,61,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,58,44,61,41
10/04/2023,77,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,77,56,61,30
10/05/2023,80,Ozone,Edison,06-029-0007,AQS,3,80,57,57,40
10/06/2023,119,Ozone,Edison,06-029-0007,AQS,3,119,66,63,40
10/07/2023,101,Ozone,Maricopa,06-029-0008,AQS,3,101,59,62,28
10/08/2023,97,Ozone,Edison,06-029-0007,AQS,3,97,44,52,28
10/09/2023,84,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,84,74,61,32
10/10/2023,58,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,2,43,58,54,23
10/11/2023,73,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,2,43,73,55,29
10/12/2023,79,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,3,46,79,61,35
10/13/2023,60,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,3,44,60,55,37
10/14/2023,58,Ozone,Maricopa,06-029-0008,AQS,5,58,52,54,29
10/15/2023,80,Ozone,Edison,06-029-0007,AQS,5,80,59,62,33
10/16/2023,101,Ozone,Edison,06-029-0007,AQS,6,101,70,72,41
10/17/2023,67,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,58,67,67,34
10/18/2023,115,Ozone,Edison,06-029-0007,AQS,5,115,78,69,42
10/19/2023,143,Ozone,Edison,06-029-0007,AQS,6,143,88,76,44
10/20/2023,122,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,6,122,79,74,44
10/21/2023,100,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,6,100,66,65,41
10/22/2023,49,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,46,49,49,14
10/23/2023,30,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,30,13,28,19
10/24/2023,55,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,43,35,55,30
10/25/2023,61,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,48,44,61,29
10/26/2023,54,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,41,42,54,31
10/27/2023,64,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,44,45,64,33
10/28/2023,67,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,47,45,67,34
10/29/2023,66,PM2.5,Bakersfield-California,06-029-0014,AQS,5,48,45,66,36
10/30/2023,67,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,46,55,67,36
10/31/2023,75,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,51,64,75,34
11/01/2023,81,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,67,73,81,48
11/02/2023,84,Ozone,Maricopa,06-029-0008,AQS,6,84,70,81,54
11/03/2023,90,Ozone,Maricopa,06-029-0008,AQS,6,90,73,85,54
11/04/2023,90,Ozone,Oildale,06-029-0232,AQS,6,90,66,88,54
11/05/2023,93,Ozone,Oildale,06-029-0232,AQS,7,93,55,84,38
11/06/2023,65,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,47,54,65,30
11/07/2023,54,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,33,54,28
11/08/2023,61,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,39,41,61,34
11/09/2023,66,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,40,52,66,39
11/10/2023,75,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,44,53,75,41
11/11/2023,90,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,49,56,90,37
11/12/2023,82,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,9,49,52,82,61
11/13/2023,63,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,48,61,63,46
11/14/2023,66,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,47,61,66,42
11/15/2023,158,PM10,Oildale,06-029-0232,AQS,6,43,158,83,41
11/16/2023,53,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,40,35,53,28
11/17/2023,57,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,39,43,57,31
11/18/2023,37,Ozone,Edison,06-029-0007,AQS,2,37,18,26,23
11/19/2023,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,38,19,52,22
11/20/2023,58,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,36,37,58,33
11/21/2023,65,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,37,55,65,42
11/22/2023,86,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,42,62,86,41
11/23/2023,95,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,49,55,95,37
11/24/2023,74,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,37,41,74,27
11/25/2023,69,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,33,44,69,34
11/26/2023,74,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,8,34,37,74,36
11/27/2023,63,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,9,35,44,63,37
11/28/2023,66,PM2.5,Bakersfield-California,06-029-0014,AQS,6,36,54,66,42
11/29/2023,55,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,40,54,55,44
11/30/2023,74,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,39,52,74,38
12/01/2023,62,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,38,39,62,39
12/02/2023,73,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,38,47,73,34
12/03/2023,72,PM2.5,Bakersfield-California,06-029-0014,AQS,8,37,40,72,36
12/04/2023,69,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,37,51,69,36
12/05/2023,91,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,38,69,91,42
12/06/2023,84,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,8,41,70,84,35
12/07/2023,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,36,36,52,31
12/08/2023,62,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,34,42,62,31
12/09/2023,78,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,34,44,78,23
12/10/2023,98,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,34,54,98,33
12/11/2023,97,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,6,36,62,97,41
12/12/2023,112,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,39,69,112,45
12/13/2023,103,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,40,70,103,45
12/14/2023,127,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,8,42,78,127,46
12/15/2023,115,PM2.5,Bakersfield-California,06-029-0014,AQS,9,42,76,115,45
12/16/2023,151,PM2.5,Bakersfield-California,06-029-0014,AQS,9,43,78,151,42
12/17/2023,157,PM2.5,Bakersfield-California,06-029-0014,AQS,9,39,79,157,42
12/18/2023,153,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,10,36,67,153,40
12/19/2023,81,PM2.5,Bakersfield-California,06-029-0014,AQS,8,27,56,81,29
12/20/2023,59,PM2.5,Bakersfield-California,06-029-0014,AQS,9,30,44,59,29
12/21/2023,49,PM2.5,Bakersfield-California,06-029-0014,AQS,3,28,12,49,25
12/22/2023,65,PM2.5,Bakersfield-California,06-029-0014,AQS,6,24,23,65,22
12/23/2023,78,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,8,28,29,78,13
12/24/2023,86,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,26,31,86,21
12/25/2023,106,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,28,42,106,27
12/26/2023,119,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,28,53,119,30
12/27/2023,118,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,31,54,118,27
12/28/2023,92,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,35,51,92,42
12/29/2023,59,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,35,38,59,27
12/30/2023,52,PM2.5,Bakersfield-California,06-029-0014,AQS,6,41,18,52,27
12/31/2023,76,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,26,28,76,22
01/01/2024,106,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,10,33,31,106,19
01/02/2024,85,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,8,32,24,85,21
01/03/2024,47,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,38,10,47,25
01/04/2024,53,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,5,37,18,53,26
01/05/2024,61,PM2.5,Bakersfield-California,06-029-0014,AQS,7,31,24,61,27
01/06/2024,66,PM2.5,Bakersfield-California,06-029-0014,AQS,9,36,34,66,21
01/07/2024,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,34,14,52,29
01/08/2024,51,PM2.5,Bakersfield-California,06-029-0014,AQS,5,33,20,51,32
01/09/2024,56,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,32,25,56,32
01/10/2024,64,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,7,35,27,64,29
01/11/2024,37,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,36,16,37,31
01/12/2024,56,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,39,23,56,31
01/13/2024,74,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,8,36,34,74,27
01/14/2024,67,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,8,35,25,67,29
01/15/2024,70,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,8,31,34,70,25
01/16/2024,90,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,35,36,90,23
01/17/2024,74,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,33,26,74,18
01/18/2024,68,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,31,30,68,25
01/19/2024,84,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,32,44,84,25
01/20/2024,81,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,30,34,81,21
01/21/2024,58,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,38,17,58,26
01/22/2024,34,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,34,9,21,25
01/23/2024,44,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,35,16,44,25
01/24/2024,54,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,35,21,54,24
01/25/2024,46,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,3,35,17,46,22
01/26/2024,61,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,34,29,61,27
01/27/2024,69,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,.,37,31,69,23
01/28/2024,91,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,.,36,43,91,25
01/29/2024,94,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,.,34,52,94,30
01/30/2024,64,PM2.5,Bakersfield-California,06-029-0014,AQS,.,35,41,64,36
01/31/2024,65,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,2,46,59,65,25
02/01/2024,38,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,38,26,22,23
02/02/2024,39,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,39,10,20,25
02/03/2024,39,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,39,12,34,18
02/04/2024,38,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,38,24,14,9
02/05/2024,33,Ozone,Oildale,06-029-0232,AQS,3,33,9,17,22
02/06/2024,37,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,37,5,6,25
02/07/2024,39,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,39,8,13,23
02/08/2024,39,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,39,13,26,29
02/09/2024,56,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,36,25,56,32
02/10/2024,47,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,7,38,16,47,23
02/11/2024,45,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,6,36,17,45,21
02/12/2024,60,PM2.5,Bakersfield-California,06-029-0014,AQS,3,36,27,60,33
02/13/2024,68,PM2.5,Bakersfield-California,06-029-0014,AQS,5,38,34,68,27
02/14/2024,64,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,33,64,26
02/15/2024,37,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,37,9,34,31
02/16/2024,51,PM2.5,Bakersfield-California,06-029-0014,AQS,3,35,22,51,23
02/17/2024,47,PM2.5,Bakersfield-California,06-029-0014,AQS,3,44,18,47,20
02/18/2024,38,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,38,8,24,20
02/19/2024,33,Ozone,Maricopa,06-029-0008,AQS,2,33,6,11,19
02/20/2024,34,Ozone,Maricopa,06-029-0008,AQS,2,34,12,26,22
02/21/2024,38,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,38,12,29,25
02/22/2024,55,PM2.5,Bakersfield-California,06-029-0014,AQS,3,36,24,55,24
02/23/2024,60,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,5,36,31,60,27
02/24/2024,78,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,5,38,35,78,26
02/25/2024,74,PM2.5,Bakersfield-California,06-029-0014,AQS,5,45,32,74,23
02/26/2024,53,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,39,25,53,27
02/27/2024,54,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,3,35,22,54,18
02/28/2024,58,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,39,37,58,33
02/29/2024,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,37,31,52,22
03/01/2024,36,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,36,18,28,19
03/02/2024,35,Ozone,Edison,06-029-0007,AQS,3,35,8,14,18
03/03/2024,39,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,39,32,34,23
03/04/2024,40,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,40,13,32,27
03/05/2024,44,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,44,24,37,25
03/06/2024,36,PM2.5,Bakersfield-California,06-029-0014,AQS,2,33,21,36,21
03/07/2024,44,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,2,33,14,44,27
03/08/2024,53,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,24,53,21
03/09/2024,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,22,52,18
03/10/2024,44,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,44,15,41,18
03/11/2024,43,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,43,17,21,25
03/12/2024,38,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,38,26,38,20
03/13/2024,51,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,3,36,22,51,21
03/14/2024,42,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,41,37,42,25
03/15/2024,39,Ozone,Edison,06-029-0007,AQS,3,39,30,35,23
03/16/2024,44,Ozone,Edison,06-029-0007,AQS,2,44,22,32,22
03/17/2024,48,Ozone,Edison,06-029-0007,AQS,3,48,25,39,21
03/18/2024,61,Ozone,Oildale,06-029-0232,AQS,3,61,47,56,25
03/19/2024,61,Ozone,Edison,06-029-0007,AQS,3,61,42,54,24
03/20/2024,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,50,37,52,27
03/21/2024,47,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,47,33,38,23
03/22/2024,61,Ozone,Edison,06-029-0007,AQS,3,61,37,39,27
03/23/2024,41,Ozone,Edison,06-029-0007,AQS,2,41,7,14,11
03/24/2024,41,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,41,6,11,13
03/25/2024,39,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,39,12,25,24
03/26/2024,43,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,43,19,39,26
03/27/2024,49,Ozone,Oildale,06-029-0232,AQS,3,49,19,35,23
03/28/2024,37,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,37,15,17,26
03/29/2024,44,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,44,31,26,18
03/30/2024,43,Ozone,Oildale,06-029-0232,AQS,2,43,7,13,14
03/31/2024,42,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,3,42,6,12,20
04/01/2024,44,Ozone,Bakersfield-California,06-029-0014,AQS,2,44,12,23,21
04/02/2024,48,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,48,23,40,22
04/03/2024,51,Ozone,Edison,06-029-0007,AQS,2,51,31,40,21
04/04/2024,41,Ozone,Maricopa,06-029-0008,AQS,2,41,19,25,16
04/05/2024,43,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,43,12,17,22
04/06/2024,43,Ozone,Bakersfield-California,06-029-0014,AQS,3,43,11,32,22
04/07/2024,44,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,3,44,14,40,13
04/08/2024,49,Ozone,Mojave-Pat Avenue,06-029-0020,AQS,2,49,25,43,22
04/09/2024,64,Ozone,Arvin-Di Giorgio,06-029-5002,AQS,2,64,26,48,19
04/10/2024,77,Ozone,Edison,06-029-0007,AQS,3,77,39,56,24
04/11/2024,100,Ozone,Edison,06-029-0007,AQS,3,100,49,64,25
04/12/2024,77,Ozone,Maricopa,06-029-0008,AQS,3,77,44,59,26
04/13/2024,58,Ozone,Oildale,06-029-0232,AQS,2,58,44,33,14
